object,action,effect_sentence_1,effect_sentence_2,effect_sentence_3,effect_sentence_4,label
tree,burn,the object is on fire and turned to ash,the bark is being taken off the object,a object is set aflame,the object is being mixed together,0
tree,burn,a object is being scorched by fire,a object is set aflame,the bark is being taken off the object,the object is being mixed together,0
tree,burn,a object is set aflame,object becomes a charred remain devoid of life,the bark is being taken off the object,the object is being mixed together,1
tree,burn,the object is being mixed together,a object is set aflame,the bark is being taken off the object,the object is set on fire,3
tree,burn,the bark is being taken off the object,the object is set afire,the object is being mixed together,a object is set aflame,1
book,carry,the object is moved through the air,the hang is on my arm,the object is on fire,something comes out of the object,0
book,carry,the object is on fire,the hang is on my arm,something comes out of the object,object is carried somewhere in someones arms or on something with wheels,3
book,carry,the hang is on my arm,the object is on fire,something comes out of the object,the object is moved in space,3
book,carry,the object is being held by an arm,the hang is on my arm,the object is on fire,something comes out of the object,0
book,carry,the object will be in someones hands or bag,the hang is on my arm,something comes out of the object,the object is on fire,0
book,carry,the object is on fire,something comes out of the object,a object is lifted,the hang is on my arm,2
book,carry,something comes out of the object,move the object from one location to another,the object is on fire,the hang is on my arm,1
book,carry,the object is on fire,the object is being held in my arm,something comes out of the object,the hang is on my arm,1
tree,chop,the bark is being taken off the object,the objects become a uniform consistency and turn yellow,the object is divided into multiple pieces,the object was laying on the ground,3
tree,chop,the objects become a uniform consistency and turn yellow,the bark is being taken off the object,the object will fall to the ground,the object is divided into multiple pieces,2
tree,chop,the bark is being taken off the object,the objects become a uniform consistency and turn yellow,the object was separated from its base and no longer upright,the object is divided into multiple pieces,2
tree,chop,the bark is being taken off the object,the object was cut down,the object is divided into multiple pieces,the objects become a uniform consistency and turn yellow,1
tree,chop,the bark is being taken off the object,the objects become a uniform consistency and turn yellow,the object falls when chop down,the object is divided into multiple pieces,2
tree,chop,the bark is being taken off the object,the objects become a uniform consistency and turn yellow,the object is divided into multiple pieces,the object falls down after being cut through,3
tree,chop,the objects become a uniform consistency and turn yellow,the object is divided into multiple pieces,the object was chopped,the bark is being taken off the object,2
tree,chop,the object is divided into multiple pieces,the objects become a uniform consistency and turn yellow,the bark is being taken off the object,the object is no longer standing,3
tree,chop,the bark is being taken off the object,the object is cut at its base until it falls,the object is divided into multiple pieces,the objects become a uniform consistency and turn yellow,1
cabinet,close,the object cannot be moved,make the object so it cannot be passed through,the object will be in someones hands or bag,the object is no longer open,3
cabinet,close,make the object so it cannot be passed through,the object will be in someones hands or bag,the object cannot be moved,an open object is shut,3
cabinet,close,make the object so it cannot be passed through,the object cannot be moved,the object will be in someones hands or bag,the object door is positioned as to block people from seeing into it,3
cabinet,close,the object has one of its doors being shut,make the object so it cannot be passed through,the object cannot be moved,the object will be in someones hands or bag,0
cabinet,close,the object is being shut,the object cannot be moved,make the object so it cannot be passed through,the object will be in someones hands or bag,0
cabinet,close,the doors of the object will be shut,the object cannot be moved,make the object so it cannot be passed through,the object will be in someones hands or bag,0
cabinet,close,the object will be in someones hands or bag,the open door of a object is shut,make the object so it cannot be passed through,the object cannot be moved,1
cabinet,close,the object is closed,make the object so it cannot be passed through,the object will be in someones hands or bag,the object cannot be moved,0
cabinet,close,make the object so it cannot be passed through,the inside of the object is separated from you,the object cannot be moved,the object will be in someones hands or bag,1
potato,cook,the object is put into a stationary position and is unable to be moved,heat the object by frying or boiling it in water,the object hardens and solidifies,outside brown layer of object is taken off leaving only the white inside,1
potato,cook,the object is put into a stationary position and is unable to be moved,outside brown layer of object is taken off leaving only the white inside,the object hardens and solidifies,the object is being prepared to be eaten,3
potato,cook,the object is put into a stationary position and is unable to be moved,outside brown layer of object is taken off leaving only the white inside,the object is heated until it is tender,the object hardens and solidifies,2
potato,cook,the object hardens and solidifies,the object is soft,the object is put into a stationary position and is unable to be moved,outside brown layer of object is taken off leaving only the white inside,1
potato,cook,the object gets hot,the object is put into a stationary position and is unable to be moved,the object hardens and solidifies,outside brown layer of object is taken off leaving only the white inside,0
potato,cook,the object hardens and solidifies,the object is heated so it can be eaten,outside brown layer of object is taken off leaving only the white inside,the object is put into a stationary position and is unable to be moved,1
potato,cook,the object is put into a stationary position and is unable to be moved,the object hardens and solidifies,outside brown layer of object is taken off leaving only the white inside,the object is exposed to hot temperatures,3
egg,crack,the object is secured tightly,the objects shattered into many tiny shards,the object is bad,an object is split open,3
egg,crack,the object is secured tightly,the objects shattered into many tiny shards,the object is bad,the object will be cracked open and its contents will spill out,3
egg,crack,the object is bad,the objects shattered into many tiny shards,the object is opened so the inside can be cooked,the object is secured tightly,2
egg,crack,the objects shattered into many tiny shards,the object is broken open,the object is bad,the object is secured tightly,1
egg,crack,to make the drink they had to crack an object,the object is secured tightly,the objects shattered into many tiny shards,the object is bad,0
egg,crack,the object is secured tightly,the objects shattered into many tiny shards,the object is bad,the object is shattered by the spoon,3
egg,crack,the objects shattered into many tiny shards,the shell of an object is broken,the object is secured tightly,the object is bad,1
egg,crack,the object is secured tightly,the object shell is being opened,the object is bad,the objects shattered into many tiny shards,1
apple,cut,putting my teeth on the object and chewing,the object is divided into multiple pieces,the object is being held by an arm,the object is divided into pieces,1
apple,cut,the object is divided into multiple pieces,the object is divided into pieces,the object is being held by an arm,putting my teeth on the object and chewing,0
apple,cut,putting my teeth on the object and chewing,the object is divided into multiple pieces,the object is being held by an arm,the object is divided into pieces,1
apple,cut,the object is divided into pieces,the object is divided into sections,putting my teeth on the object and chewing,the object is being held by an arm,1
apple,cut,the object is being held by an arm,putting my teeth on the object and chewing,the object is made into smaller pieces,the object is divided into pieces,2
apple,cut,putting my teeth on the object and chewing,the object is divided into pieces,the object is being held by an arm,an object is split into small pieces,3
apple,cut,putting my teeth on the object and chewing,the object is divided into pieces,the object is being held by an arm,the object is sliced into pieces,3
apple,cut,putting my teeth on the object and chewing,the object is in tiny pieces,the object is divided into pieces,the object is being held by an arm,1
meat,fry,the object is being burnt on the stove,the objectes were cooked using high heat and oil,the object is split into pieces,the object is divided in pieces,0
meat,fry,the objectes were cooked using high heat and oil,the object is split into pieces,the object is divided in pieces,the object is heated quickly with oil,3
meat,fry,the object is divided in pieces,the objectes were cooked using high heat and oil,object is heated in an open pan,the object is split into pieces,2
meat,fry,the object is split into pieces,the object gets hot,the object is divided in pieces,the objectes were cooked using high heat and oil,1
meat,fry,the object is cooked over heat,the object is split into pieces,the objectes were cooked using high heat and oil,the object is divided in pieces,0
meat,fry,the objectes were cooked using high heat and oil,the object is divided in pieces,the object is cooking in hot liquid,the object is split into pieces,2
meat,fry,the object is split into pieces,the objectes were cooked using high heat and oil,the object is being cooked,the object is divided in pieces,2
meat,fry,the objectes were cooked using high heat and oil,the object is divided in pieces,the object is split into pieces,the object is heated and sizzled to eat,3
meat,fry,the objectes were cooked using high heat and oil,object is cooked using high heat,the object is split into pieces,the object is divided in pieces,1
door,lock,the object is moved through the air,the object cannot be moved,the object is being shut,the object is secured shut,3
door,lock,the object is locked,the object is being shut,the object is moved through the air,the object cannot be moved,0
door,lock,the object is being shut,the object is moved through the air,the object cannot be moved,the object cannot be opened,3
door,lock,the object cannot be opened without a key,the object is being shut,the object is moved through the air,the object cannot be moved,0
door,lock,the object is moved through the air,the object no longer provides access,the object cannot be moved,the object is being shut,1
door,lock,the object is being shut,the object is moved through the air,the object is being secured,the object cannot be moved,2
door,lock,the object is moved through the air,the object cannot be moved,the object is being shut,a object is secured shut,3
door,lock,the object is moved through the air,the object cannot be moved,the object is made unable to open,the object is being shut,2
door,open,move the object in order to allow admission in to,the object is being shut,the object impacts an item and possibly breaks,a object is pulled open to show its contents,0
door,open,the object is being pulled ajar,the object impacts an item and possibly breaks,the object is being shut,a object is pulled open to show its contents,0
door,open,the object impacts an item and possibly breaks,the object was left ajar,the object is being shut,a object is pulled open to show its contents,1
door,open,the object impacts an item and possibly breaks,a object is opened allowing you to enter the room,a object is pulled open to show its contents,the object is being shut,1
door,open,a object is swung on its hinges away from its frame,a object is pulled open to show its contents,the object impacts an item and possibly breaks,the object is being shut,0
door,open,the object is ajar,the object is being shut,the object impacts an item and possibly breaks,a object is pulled open to show its contents,0
door,open,the object is being shut,a object is pulled open to show its contents,the object is pushed ajar,the object impacts an item and possibly breaks,2
door,open,the object impacts an item and possibly breaks,the object swings and lets you pass through,the object is being shut,a object is pulled open to show its contents,1
door,open,the object impacts an item and possibly breaks,my dad came inside through the front object,the object is being shut,a object is pulled open to show its contents,1
carrot,peel,the object has its outside being taken off,a object is cut into smaller pieces,object becomes a charred remain devoid of life,the peel on the object is removed,0
carrot,peel,the peel on the object is removed,the object has its outer skin removed,object becomes a charred remain devoid of life,a object is cut into smaller pieces,1
carrot,peel,object becomes a charred remain devoid of life,the peel on the object is removed,a object is cut into smaller pieces,the inside of the object becomes visible,3
carrot,peel,a object is being cut,object becomes a charred remain devoid of life,the peel on the object is removed,a object is cut into smaller pieces,0
carrot,peel,the object is being shaved into small pieces,object becomes a charred remain devoid of life,the peel on the object is removed,a object is cut into smaller pieces,0
carrot,peel,object becomes a charred remain devoid of life,the peel on the object is removed,a object is cut into smaller pieces,the object has its rough outer surface stripped away,3
carrot,peel,the peel on the object is removed,the skin of the object is removed entirely,object becomes a charred remain devoid of life,a object is cut into smaller pieces,1
carrot,peel,the peel on the object is removed,a object is cut into smaller pieces,objects have their outer layers removed,object becomes a charred remain devoid of life,2
carrot,peel,the peel on the object is removed,the skin of the object is removed most likely for eating,object becomes a charred remain devoid of life,a object is cut into smaller pieces,1
wood,pile,the object is being held by an arm,the object is gathered into one rising area,the objects are stacked atop one another,the object was divided by the to and fro action of a saw,1
wood,pile,many object pieces are randomly arranged one over another to form a pile,the object was divided by the to and fro action of a saw,the object is being held by an arm,the objects are stacked atop one another,0
wood,pile,the objects are stacked atop one another,the object is being held by an arm,object is stacked together,the object was divided by the to and fro action of a saw,2
wood,pile,the object is being held by an arm,the object is moved ontop of each other,the object was divided by the to and fro action of a saw,the objects are stacked atop one another,1
wood,pile,the object was divided by the to and fro action of a saw,the object is being held by an arm,the objects are stacked atop one another,the object is stacked together,3
wood,pile,the object is being use to make a fire,the object was divided by the to and fro action of a saw,the object is being held by an arm,the objects are stacked atop one another,0
wood,pile,the object is being held by an arm,the object was divided by the to and fro action of a saw,the object is placed in a stack,the objects are stacked atop one another,2
wood,pile,the object is being held by an arm,the object is stacked,the objects are stacked atop one another,the object was divided by the to and fro action of a saw,1
wood,pile,the object was divided by the to and fro action of a saw,the objects are stacked atop one another,the object is being held by an arm,stack the object together in a group,3
wood,pile,the object was divided by the to and fro action of a saw,the objects are stacked atop one another,the object pieces are on top of each other,the object is being held by an arm,2
meat,slice,object becomes a charred remain devoid of life,the object is divided in pieces,the object is cut into smaller pieces,the object is divided into multiple pieces,2
meat,slice,the object is cut into many uniform pieces,the object is divided in pieces,object becomes a charred remain devoid of life,the object is divided into multiple pieces,0
meat,slice,the object is divided into multiple pieces,the object is being divided into multiple pieces,object becomes a charred remain devoid of life,the object is divided in pieces,1
meat,slice,the object is divided into multiple pieces,the object falls into pieces,the object is divided in pieces,object becomes a charred remain devoid of life,1
meat,slice,the object is made into smaller pieces,the object is divided into multiple pieces,the object is divided in pieces,object becomes a charred remain devoid of life,0
meat,slice,the object is cut into many pieces,the object is divided into multiple pieces,object becomes a charred remain devoid of life,the object is divided in pieces,0
meat,slice,the object is divided into multiple pieces,object becomes a charred remain devoid of life,the object is cut thinly with a knife,the object is divided in pieces,2
shirt,tear,the object is broken into many pieces,the object is hanging in the closet,the object becomes shaped like a coil,the object is made into smaller pieces and damaged,3
shirt,tear,the object is broken into many pieces,the object is ripped,the object is hanging in the closet,the object becomes shaped like a coil,1
shirt,tear,the object becomes shaped like a coil,the object is broken into many pieces,the object is hanging in the closet,a object is ripped,3
shirt,tear,the object is broken into many pieces,the object is ripped,the object becomes shaped like a coil,the object is hanging in the closet,1
shirt,tear,the object fabric has separated,the object is hanging in the closet,the object becomes shaped like a coil,the object is broken into many pieces,0
shirt,tear,the object is hanging in the closet,object is pulled apart to split into pieces,the object is broken into many pieces,the object becomes shaped like a coil,1
shirt,tear,the object is hanging in the closet,the object becomes shaped like a coil,the object is broken into many pieces,a broken line is made in the object randomly,3
shirt,tear,the object is hanging in the closet,the object has a hole,the object becomes shaped like a coil,the object is broken into many pieces,1
apple,throw,the object is flying high in the air,the ball is moved through space due to energy produced by a motion of the arm of the thrower,putting my teeth on the object and chewing,heat is added to the object so that it is no longer raw,0
apple,throw,the ball is moved through space due to energy produced by a motion of the arm of the thrower,heat is added to the object so that it is no longer raw,putting my teeth on the object and chewing,the object is flying in the air,3
apple,throw,heat is added to the object so that it is no longer raw,the object flies through the air,putting my teeth on the object and chewing,the ball is moved through space due to energy produced by a motion of the arm of the thrower,1
apple,throw,heat is added to the object so that it is no longer raw,the object hurtles through the air,putting my teeth on the object and chewing,the ball is moved through space due to energy produced by a motion of the arm of the thrower,1
apple,throw,heat is added to the object so that it is no longer raw,the ball is moved through space due to energy produced by a motion of the arm of the thrower,putting my teeth on the object and chewing,the object flies away into the air,3
apple,throw,the ball is moved through space due to energy produced by a motion of the arm of the thrower,heat is added to the object so that it is no longer raw,the object is gliding through the air,putting my teeth on the object and chewing,2
apple,throw,heat is added to the object so that it is no longer raw,the object is flying in the air,putting my teeth on the object and chewing,the ball is moved through space due to energy produced by a motion of the arm of the thrower,1
apple,throw,putting my teeth on the object and chewing,heat is added to the object so that it is no longer raw,the object flies through the air,the ball is moved through space due to energy produced by a motion of the arm of the thrower,2
